Variable,SHAP_Mean_Abs,SHAP_Std,Importancia_%
lag_1,0.3103115805247524,0.203268331318238,20.06928419334856
lag_12,0.23786515843334202,0.10906555903665606,15.383839224504339
rolling_mean_3,0.20283437841928117,0.12842171528101765,13.11823676639439
rolling_mean_6,0.17384910550673333,0.09799063940652036,11.243625195276149
price_lag_1,0.13611219936956792,0.1100215660354621,8.803005052889679
price,0.12551813805400933,0.10151618492253422,8.117838141154825
lag_2,0.09706850994013694,0.08066588504112071,6.2778691949528955
month,0.08266663729914056,0.03201919093275576,5.34643352484418
lag_3,0.08177771911673652,0.07239238627211012,5.28894307734901
pack_size,0.026878152871753526,0.014935188124668618,1.738334378830768
variant,0.02211263785693209,0.02356317581665421,1.430126496294163
price_lag_12,0.017281781178980295,0.015719932623007155,1.117692666389395
year,0.013779142775779471,0.010731489194843718,0.8911608514261865
supermarket,0.009509041221481284,0.00948902554067883,0.6149936472156625
brand,0.008637353745244413,0.00813061212074107,0.5586175891297959
